,date,from_province,to_province,from_district,to_district,total_people,male,female
392,202303,서울특별시,서울특별시,동대문구,동대문구,864,454,410
393,202301,서울특별시,서울특별시,동대문구,중랑구,123,65,58
394,202302,서울특별시,서울특별시,동대문구,중랑구,150,74,76
395,202303,서울특별시,서울특별시,동대문구,중랑구,138,69,69
396,202301,서울특별시,서울특별시,동대문구,성북구,181,92,89
397,202302,서울특별시,서울특별시,동대문구,성북구,255,123,132
398,202303,서울특별시,서울특별시,동대문구,성북구,230,117,113
399,202301,서울특별시,서울특별시,동대문구,강북구,32,14,18
400,202302,서울특별시,서울특별시,동대문구,강북구,59,26,33
401,202303,서울특별시,서울특별시,동대문구,강북구,47,17,30
402,202301,서울특별시,서울특별시,동대문구,도봉구,31,16,15
403,202302,서울특별시,서울특별시,동대문구,도봉구,56,28,28
404,202303,서울특별시,서울특별시,동대문구,도봉구,54,24,30
405,202301,서울특별시,서울특별시,동대문구,노원구,67,36,31
406,202302,서울특별시,서울특별시,동대문구,노원구,103,53,50
407,202303,서울특별시,서울특별시,동대문구,노원구,89,46,43
408,202301,서울특별시,서울특별시,동대문구,은평구,32,16,16
409,202302,서울특별시,서울특별시,동대문구,은평구,39,11,28
410,202303,서울특별시,서울특별시,동대문구,은평구,65,30,35
411,202301,서울특별시,서울특별시,동대문구,서대문구,26,10,16
412,202302,서울특별시,서울특별시,동대문구,서대문구,42,19,23
413,202303,서울특별시,서울특별시,동대문구,서대문구,28,14,14
414,202301,서울특별시,서울특별시,동대문구,마포구,40,13,27
415,202302,서울특별시,서울특별시,동대문구,마포구,69,36,33
416,202303,서울특별시,서울특별시,동대문구,마포구,43,24,19
417,202301,서울특별시,서울특별시,동대문구,양천구,18,9,9
418,202302,서울특별시,서울특별시,동대문구,양천구,53,26,27
419,202303,서울특별시,서울특별시,동대문구,양천구,45,20,25
420,202301,서울특별시,서울특별시,동대문구,강서구,26,13,13
421,202302,서울특별시,서울특별시,동대문구,강서구,65,27,38
422,202303,서울특별시,서울특별시,동대문구,강서구,43,22,21
423,202301,서울특별시,서울특별시,동대문구,구로구,15,7,8
424,202302,서울특별시,서울특별시,동대문구,구로구,40,19,21
425,202303,서울특별시,서울특별시,동대문구,구로구,25,12,13
426,202301,서울특별시,서울특별시,동대문구,금천구,7,3,4
427,202302,서울특별시,서울특별시,동대문구,금천구,18,9,9
428,202303,서울특별시,서울특별시,동대문구,금천구,17,6,11
429,202301,서울특별시,서울특별시,동대문구,영등포구,32,17,15
430,202302,서울특별시,서울특별시,동대문구,영등포구,54,28,26
431,202303,서울특별시,서울특별시,동대문구,영등포구,76,37,39
432,202301,서울특별시,서울특별시,동대문구,동작구,44,19,25
433,202302,서울특별시,서울특별시,동대문구,동작구,98,43,55
434,202303,서울특별시,서울특별시,동대문구,동작구,56,24,32
435,202301,서울특별시,서울특별시,동대문구,관악구,42,23,19
436,202302,서울특별시,서울특별시,동대문구,관악구,85,48,37
437,202303,서울특별시,서울특별시,동대문구,관악구,81,42,39
438,202301,서울특별시,서울특별시,동대문구,서초구,32,18,14
439,202302,서울특별시,서울특별시,동대문구,서초구,68,29,39
440,202303,서울특별시,서울특별시,동대문구,서초구,52,25,27
441,202301,서울특별시,서울특별시,동대문구,강남구,57,29,28
442,202302,서울특별시,서울특별시,동대문구,강남구,138,71,67
443,202303,서울특별시,서울특별시,동대문구,강남구,77,37,40
444,202301,서울특별시,서울특별시,동대문구,송파구,75,40,35
